index,token_creator,project_name,name,labels
0x705350c4bcd35c9441419ddd5d2f097d7a55410f,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: sBTC Liquidity Gauge,"['curve-fi', 'yield-farming']"
0x317625234562b1526ea2fac4030ea499c5291de4,0x51F22ac850D29C879367A77D241734AcB276B815,(Proxy contract) Aave Token,Aave: LEND To AAVE Migrator,['aave']
0x090d4613473dee047c3f2706764f49e0821d256e,0x41653c7d61609D856f29355E404F310Ec4142Cfb,Uniswap (UNI),Uniswap: Token Distributor,['uniswap']
0xba100000625a3754423978a60c9317c58a424e3d,0x24A12Fa313F57aF541d447c594072A992c605DCf,Balancer (BAL),Balancer: BAL Token,['balancer']
0xdcd51fc5cd918e0461b9b7fb75967fdfd10dae2f,0x0cCF14983364A7735d369879603930Afe10df21e,Rocket Pool (RPL),Rocket Pool: Node Deposits,['rocket-pool']
0xfc92d0e9fa35df17e3a6d9f40716ca2ce749922b,0xa850535D3628CD4dFEB528dC85cfA93051Ff2984,LQTY,Liquity: Multi Trove Getter,['liquity']
0xe710ced57456d3a16152c32835b5fb4e72d9ea5b,0x301DF37d653b281AF83a1DDf4464eF21A622eC83,dYdX (DYDX),dYdX: Community Treasury,['dydx']
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0xF942Dba4159CB61F8AD88ca4A83f5204e8F4A6bd,SushiToken (SUSHI),SushiSwap: Router,['sushiswap']
0xa7429af4deb16827dad0e71d8aeea9c2bf70e32c,0xA28ea848801da877E1844F954FF388e857d405e5,Aura,Aura: BAL Liquidity Provider,['aura-finance']
0xbe731507810c8747c3e01e62c676b1ca6f93242f,0xD7c4208AeB0961972B3eA717Be25F2194d5F0331,OHM V1,OlympusDAO: Staking Distributor V1,['olympusdao']
0xdba68f07d1b7ca219f78ae8582c213d975c25caf,0x60e2E1b2a317EdfC870b6Fc6886F69083FB2099a,UniCrypt,Unicrypt : Token Vesting,['unicrypt']
0x4eaed76c3a388f4a841e9c765560bbe7b3e4b3a0,0xfddfE525054efaAD204600d00CA86ADb1Cc2ea8a,Spell Token (SPELL),Abracadabra.Money: cvxtricrypto2 Market,['abracadabra-money']
0xc145990e84155416144c532e31f89b840ca8c2ce,0x3efF38C0e1e5DD6Bd58d3fa79cAecc4Da46C8866,THORChain ETH.RUNE,THORSwap: RouterV2,"['bridge', 'dex']"
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x28EC390b368BED6a4553215b5DBEBB551A4B12AE,(Proxy contract) TrustSwap Token,,['bridged-token']
0x0aff88b4cf3015c9c17f1da1fccb88c632f3505e,0x1e1fEdbeB8CE004a03569A3FF03A1317a6515Cf1,DxSale.Network,Quarashi Network: Old QUA Token,['old-contract']
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0x9AA99C23F67c81701C772B106b4F83f6e858dd2E,Hop,Hop: HOP Token,['hop-protocol']
